test_loss,test_acc,test_ece,test_nll,epoch,test_ts_agree,test_ts_kl,test_cka_0,test_cka_1,test_cka_2,teacher_train_acc,teacher_test_acc,train_loss,train_acc,train_ts_agree,train_ece,train_ts_kl,lr
6.226364015023919,0.99,0.13486666977405548,6.215276977683924,0,0.91,5.670894984957538,0.8781443399935341,0.6896349596450917,0.8241868361500938,92.046,65.84,,,,,,
2.0000541798676115,54.95,0.21251904964447021,17.876655518254147,10,57.77,1.4432939079743397,0.7727749517243632,0.7978563595393392,0.9379938348389902,92.046,65.84,55.442512004881564,58.778,60.27,0.13723699748516083,1.1915369172535284,0.04945369001834514
1.8067531012281586,58.85,0.18864372372627258,18.199155614345887,20,61.77,1.2531789533699615,0.826218854701682,0.8048118953151273,0.9564186961926725,92.046,65.84,54.59274973954691,65.512,66.896,0.09898019582033157,0.9025435758673627,0.04783863644106502
1.7260024804103224,60.25,0.18835130333900452,18.579529653621627,30,63.39,1.1745313375811033,0.8217059954411639,0.8204902353196573,0.9687336932809983,92.046,65.84,54.36205706389054,68.006,69.598,0.08268416672945023,0.7956800165078829,0.04522542485937369
1.5541645318646975,62.78,0.16146373748779297,18.26834642434422,40,66.08,0.999787454363666,0.8229662060768489,0.8469726478301447,0.966049134725088,92.046,65.84,54.15445574592142,69.222,70.754,0.0767602026462555,0.7474652846603442,0.04172826515897146
1.5546293711360497,63.25,0.16101525723934174,18.218934964530074,50,66.76,0.9996281816989561,0.8504245786980641,0.8460641604470831,0.9745426405932401,92.046,65.84,54.02039239595613,70.202,71.776,0.07280966639518738,0.709131800686307,0.03750000000000001
1.5352970754043966,63.35,0.15614065527915955,17.92750703835789,60,66.65,0.9810983681980567,0.8683129980415865,0.8551603696052261,0.9750396122118239,92.046,65.84,53.96478197336807,71.192,72.782,0.06385287642478943,0.6694147915334043,0.03272542485937371
1.5217188430737845,64.32,0.15022829174995422,17.930124958859214,70,67.4,0.9689099992377849,0.8692351214376683,0.8656084709892554,0.9820349679848213,92.046,65.84,53.84923538832408,71.998,73.492,0.06119677424430847,0.6387851789326924,0.027613211581691357
1.4444203738924823,65.14,0.14945393800735474,18.62213397931449,80,68.83,0.8895003667360619,0.8627821985405659,0.831923893443427,0.9788648936429394,92.046,65.84,53.75249285100366,72.92,74.468,0.053208429366350174,0.6059700851245304,0.022386788418308677
1.4222278881676589,65.62,0.14674627780914307,18.50995710831654,90,69.75,0.8695357788967181,0.8814980501554444,0.8415139765529204,0.9830016634588759,92.046,65.84,53.674518809599036,73.672,75.306,0.04975733160972595,0.5773315829084352,0.01727457514062632
1.4027610187289081,66.76,0.1379624903202057,18.494727822798716,100,69.97,0.8480956727945352,0.8749019183635928,0.8492085653205147,0.9845393107296005,92.046,65.84,53.62242727450398,74.358,75.904,0.04571085423231125,0.5541246932790712,0.012499999999999999
1.3402835855001136,67.03,0.134238138794899,18.4757663630232,110,70.73,0.786132769494117,0.8763139076948084,0.8406598178590491,0.9870892728279479,92.046,65.84,53.50158839701387,75.328,76.96,0.039494335651397705,0.5307052706361122,0.008271734841028546
1.3482734145997446,67.04,0.13876627385616302,18.76052677782276,120,70.98,0.7960391308687911,0.8758523727396454,0.848335055964631,0.9855612137680893,92.046,65.84,53.39510862540711,75.86,77.588,0.036044713109731674,0.5078593997851663,0.004774575140626318
1.3145616620401792,67.67,0.13194164633750916,18.551705179335197,130,71.37,0.7607286104673072,0.8819512718054247,0.8469886194813514,0.9864066992632837,92.046,65.84,53.36424714890892,76.428,78.1,0.03250041604042053,0.4891326063886628,0.002161363558934982
1.3038550819022745,67.93,0.13026008009910583,18.614867174172705,140,71.66,0.7528221292209022,0.8788243677913222,0.8453099545378446,0.9860901032738606,92.046,65.84,53.285244378287466,76.688,78.348,0.03144853189587593,0.47783941807954206,0.0005463099816548606
1.306351536436926,67.98,0.12887020409107208,18.4742445161071,150,71.66,0.7511024554319019,0.8791426741208922,0.84584048151205,0.9867744184933057,92.046,65.84,53.34557285942995,76.914,78.544,0.029815031215548515,0.4770264976164874,0.0
